Filename;q_flag;Avg Time;Avg Energy;File Size;Resolution;bpp;q_flag;ssim;psnr;mse;;min fs;max fs ;avg fs;median fs
studentsculpture;86;0,049167311;2,33;126296;632x505;3,1657;86;0,99019745;34,72526303;21,90554476;;;;;
studentsculpture;87;0,049729851;1,88;128860;632x505;3,2299;87;0,990602297;34,84051303;21,33187638;;;;;
studentsculpture;88;0,051013104;2,32;134142;632x505;3,3623;88;0,991579763;35,21122992;19,586524;;;;;
studentsculpture;89;0,052104868;1,98;141970;632x505;3,5585;89;0,992780567;35,65598803;17,67997138;;;;;
studentsculpture;90;0,052330898;2,45;147298;632x505;3,6921;90;0,993377814;35,94873242;16,52749822;;;;;
studentsculpture;91;0,052249498;1,99;151534;632x505;3,7983;91;0,993955965;36,1622485;15,73459289;;;;;
studentsculpture;92;0,05343953;2,57;161752;632x505;4,0544;92;0,994797761;36,58007385;14,29134081;;;;;
studentsculpture;93;0,054470273;2,08;169816;632x505;4,2565;93;0,995557195;37,01450735;12,93092597;;;;;
studentsculpture;94;0,056733248;2,31;179962;632x505;4,5108;94;0,996143499;37,24446692;12,26404311;;;;;
studentsculpture;95;0,056114916;2,18;184702;632x505;4,6297;95;0,996406555;37,53051693;11,48229415;;;;;
studentsculpture;96;0,05793742;2,29;199732;632x505;5,0064;96;0,996994635;37,93183485;10,46879935;;;;;
studentsculpture;97;0,059633884;2,35;212068;632x505;5,3156;97;0,997370503;38,28485932;9,651491415;;;;;
studentsculpture;98;0,059757324;2,36;221004;632x505;5,5396;98;0,997539181;38,30378865;9,609515603;;;;;
studentsculpture;99;0,0621336;2,52;234214;632x505;5,8707;99;0,997739686;38,52407253;9,134254501;;;;;
womanhat;98;0,052445428;2,36;148354;480x720;3,4341;98;0,991332798;42,73396827;3,464842785;;;;;
womanhat;99;0,05360833;2;156182;480x720;3,6153;99;0,99236732;42,92937878;3,312397762;;;;;
woman;94;0,054346002;2,12;159360;480x720;3,6888;94;0,990578532;40,08115987;6,382111304;;;;;
woman;95;0,054507653;2,12;164938;480x720;3,818;95;0,991532539;40,37318117;5,967085262;;;;;
woman;96;0,055785925;2,18;175030;480x720;4,0516;96;0,992249249;40,79425976;5,415697338;;;;;
woman;97;0,057424719;2,3;189844;480x720;4,3945;97;0,993686138;41,2716575;4,851930941;;;;;
woman;98;0,058189381;2,26;198372;480x720;4,5919;98;0,994185391;41,35025016;4,764917052;;;;;
woman;99;0,059161693;2,34;211262;480x720;4,8903;99;0,995018928;41,58484399;4,514357639;;;;;
