Filename;q_flag;Avg Time;Avg Energy;File Size;Resolution;bpp;;ssim;psnr;mse;;min fs;max fs ;avg fs;median fs
caps;91;0,0389698;2,43;57216;768x512;1,164;91;0,977537871;39,73065845;6,918540955;;;;;
caps;92;0,041290256;2,52;61579;768x512;1,2528;92;0,979105007;40,08718633;6,373261346;;;;;
caps;93;0,042593289;2,56;67284;768x512;1,3688;93;0,980892836;40,45334826;5,857948303;;;;;
caps;94;0,043494131;2,61;74120;768x512;1,5079;94;0,982542332;40,89202379;5,295146518;;;;;
caps;95;0,044944155;2,96;82865;768x512;1,6858;95;0,984585923;41,47088966;4,634377374;;;;;
caps;96;0,050106168;2,78;94824;768x512;1,9291;96;0,986984142;42,09918038;4,010165744;;;;;
caps;97;0,049634897;2,77;112252;768x512;2,2837;97;0,989521358;42,90382897;3,33194224;;;;;
caps;98;0,049348196;2,93;139941;768x512;2,8471;98;0,992262182;43,90694489;2,644757589;;;;;
caps;99;0,054991621;3,06;183620;768x512;3,7357;99;0,995032847;45,38207984;1,883095635;;;;;
carnivaldolls;69;0,065555137;3,17;34703;610x488;0,9326;69;0,950187435;31,3407244;47,75379826;;;;;
carnivaldolls;70;0,066940131;3,24;35402;610x488;0,9514;70;0,951698928;31,45329595;46,53189779;;;;;
carnivaldolls;71;0,06613117;3,29;36130;610x488;0,9709;71;0,953302218;31,58913038;45,0990426;;;;;
carnivaldolls;72;0,06267127;3,17;37102;610x488;0,997;72;0,954993932;31,76549754;43,30425849;;;;;
carnivaldolls;73;0,067262403;3,54;38040;610x488;1,0223;73;0,955957388;31,85642986;42,40698289;;;;;
carnivaldolls;74;0,063459322;3,19;39124;610x488;1,0514;74;0,957473489;32,0519474;40,54017513;;;;;
carnivaldolls;75;0,065868819;3,18;40014;610x488;1,0753;75;0,959081898;32,23703558;38,84872794;;;;;
carnivaldolls;76;0,067557033;3,3;41309;610x488;1,1101;76;0,960594205;32,3707898;37,67049964;;;;;
carnivaldolls;77;0,067782373;3,45;42456;610x488;1,1409;77;0,962136473;32,58799761;35,83278801;;;;;
carnivaldolls;78;0,066907861;3,19;43711;610x488;1,1747;78;0,963132512;32,70556941;34,87573905;;;;;
carnivaldolls;79;0,064919385;3,14;45179;610x488;1,2141;79;0,9648278;32,94897636;32,97484211;;;;;
carnivaldolls;80;0,063897764;3,2;46694;610x488;1,2548;80;0,966327666;33,12192031;31,68752575;;;;;
carnivaldolls;81;0,065981579;3,21;48201;610x488;1,2953;81;0,967743147;33,35292158;30,04610656;;;;;
carnivaldolls;82;0,063441442;3,16;49838;610x488;1,3393;82;0,969272967;33,54919866;28,71841687;;;;;
carnivaldolls;83;0,067033252;3,22;51773;610x488;1,3913;83;0,971024967;33,80191004;27,09501254;;;;;
carnivaldolls;84;0,068038724;3,34;53787;610x488;1,4454;84;0,972297969;34,04216695;25,63679119;;;;;
carnivaldolls;85;0,064859876;3,25;55964;610x488;1,504;85;0,973882125;34,28510483;24,24207986;;;;;
carnivaldolls;86;0,064452815;3,37;58502;610x488;1,5722;86;0,975202447;34,52575603;22,93531757;;;;;
carnivaldolls;87;0,063972224;3,14;61264;610x488;1,6464;87;0,976555482;34,80512087;21,50642748;;;;;
carnivaldolls;88;0,069006127;3,27;63552;610x488;1,7079;88;0,977184947;34,89519673;21,06496238;;;;;
carnivaldolls;89;0,066129589;3,31;67022;610x488;1,8011;89;0,978744128;35,20323183;19,62262833;;;;;
carnivaldolls;90;0,066185679;3,39;70829;610x488;1,9034;90;0,980193371;35,57009393;18,03312394;;;;;
carnivaldolls;91;0,065513367;3,34;75364;610x488;2,0253;91;0,98165507;35,9342812;16,58258533;;;;;
carnivaldolls;92;0,070295439;3,48;80374;610x488;2,16;92;0,983431178;36,40380773;14,88331206;;;;;
carnivaldolls;93;0,067002122;3,34;86899;610x488;2,3353;93;0,985155386;36,90692381;13,25525172;;;;;
carnivaldolls;94;0,072087654;3,46;94186;610x488;2,5312;94;0,986813397;37,43672215;11,73297501;;;;;
carnivaldolls;95;0,072859596;3,47;103538;610x488;2,7825;95;0,9886208;38,05663247;10,17225208;;;;;
carnivaldolls;96;0,071833183;3,48;115658;610x488;3,1082;96;0,990730656;38,84091031;8,491596121;;;;;
carnivaldolls;97;0,07446062;3,58;131276;610x488;3,5279;97;0,992790873;39,79199861;6,821509675;;;;;
carnivaldolls;98;0,078628851;3,83;156195;610x488;4,1976;98;0,995196978;41,44425116;4,6628908;;;;;
carnivaldolls;99;0,079246063;3,8;189603;610x488;5,0954;99;0,996854103;43,35711807;3,00170877;;;;;
cemetry;80;0,069455168;3,43;61712;627x482;1,6335;80;0,950986816;31,78230977;43,1369449;;;;;
cemetry;81;0,07064918;3,44;63752;627x482;1,6875;81;0,953454235;31,95859657;41,42101182;;;;;
cemetry;82;0,068537085;3,35;66028;627x482;1,7478;82;0,956001809;32,17185996;39,43613687;;;;;
cemetry;83;0,070056539;3,31;68432;627x482;1,8114;83;0,958678749;32,37840671;37,60448887;;;;;
cemetry;84;0,07024882;3,41;71161;627x482;1,8837;84;0,961163923;32,59620553;35,76513001;;;;;
cemetry;85;0,071502063;3,37;74332;627x482;1,9676;85;0,963848618;32,846769;33,7600795;;;;;
cemetry;86;0,069306378;3,38;77730;627x482;2,0576;86;0,966505252;33,10323292;31,82416875;;;;;
cemetry;87;0,072582176;3,51;81657;627x482;2,1615;87;0,969235795;33,38685413;29,81226327;;;;;
cemetry;88;0,070754421;3,37;85154;627x482;2,2541;88;0,971608014;33,59020971;28,44850117;;;;;
cemetry;89;0,069752168;3,39;89818;627x482;2,3775;89;0,974256108;33,93498488;26,27736858;;;;;
cemetry;90;0,073109647;3,61;95334;627x482;2,5236;90;0,976929984;34,29875898;24,16598282;;;;;
cemetry;91;0,071158882;3,51;101426;627x482;2,6848;91;0,979548049;34,66064165;22,23392806;;;;;
cemetry;92;0,072455505;3,47;108796;627x482;2,8799;92;0,982288309;35,16426024;19,79950521;;;;;
cemetry;93;0,072519895;3,54;117568;627x482;3,1121;93;0,984808043;35,66520682;17,64248182;;;;;
cemetry;94;0,074399131;3,64;127584;627x482;3,3773;94;0,98725412;36,2728096;15,33908312;;;;;
cemetry;95;0,073339748;3,66;139521;627x482;3,6933;95;0,989748767;37,0049777;12,95933125;;;;;
cemetry;96;0,077324078;3,63;155102;627x482;4,1057;96;0,992101144;37,91791438;10,50240889;;;;;
cemetry;97;0,076806696;3,65;175357;627x482;4,6419;97;0,994148813;39,00844359;8,170262353;;;;;
cemetry;98;0,079928755;3,83;206399;627x482;5,4636;98;0,996134303;40,89589754;5,290425548;;;;;
cemetry;99;0,082833352;3,94;248509;627x482;6,5783;99;0,997582405;43,07224321;3,205206686;;;;;
churchandcapitol;68;0,072711086;3,48;39339;634x505;0,9829;68;0,950392297;31,62186754;44,76036377;;;;;
churchandcapitol;69;0,07404083;3,55;40191;634x505;1,0042;69;0,951709518;31,75673349;43,3917346;;;;;
churchandcapitol;70;0,073384788;3,5;41283;634x505;1,0315;70;0,953197973;31,89863616;41,99685271;;;;;
churchandcapitol;71;0,070931812;3,61;42184;634x505;1,054;71;0,954863917;32,04615338;40,59429678;;;;;
churchandcapitol;72;0,071575913;3,47;43230;634x505;1,0801;72;0,956367;32,19676659;39,21061936;;;;;
churchandcapitol;73;0,07421613;3,66;44118;634x505;1,1023;73;0,957675679;32,31850914;38,12672018;;;;;
churchandcapitol;74;0,072857116;3,52;45372;634x505;1,1336;74;0,959105059;32,45226871;36,97034388;;;;;
churchandcapitol;75;0,070419091;3,55;46670;634x505;1,1661;75;0,960966897;32,62007233;35,56912057;;;;;
churchandcapitol;76;0,073383198;3,45;48039;634x505;1,2003;76;0,962383869;32,79468566;34,1673892;;;;;
churchandcapitol;77;0,072966716;3,49;49331;634x505;1,2326;77;0,964128886;32,96820762;32,82914702;;;;;
churchandcapitol;78;0,073920279;3,57;50762;634x505;1,2683;78;0,965738507;33,15437722;31,45159238;;;;;
churchandcapitol;79;0,07419129;3,67;52341;634x505;1,3078;79;0,967247469;33,33492023;30,17090504;;;;;
churchandcapitol;80;0,073401808;3,53;54066;634x505;1,3509;80;0,96883754;33,54737075;28,73050671;;;;;
churchandcapitol;81;0,071662873;3,59;55827;634x505;1,3949;81;0,970195762;33,74814884;27,43250565;;;;;
