Filename,q_flag,Avg Time,Avg Energy,File Size,Resolution,bpp,,,,,
buildings,51,0.06888706,3.53,16658,768x512,0.3389,,,,,
buildings,52,0.067631477,3.39,15427,768x512,0.3138,,,,,
buildings,53,0.066423275,3.26,14215,768x512,0.2892,,,,,
buildings,54,0.066215115,3.35,13160,768x512,0.2677,,,,,
buildings,55,0.06442932,3.2,11977,768x512,0.2436,,,,,
buildings,56,0.063903949,3.17,11086,768x512,0.2255,,,,,
buildings,57,0.062435107,3.13,10102,768x512,0.2055,,,,,
buildings,58,0.061178254,3.1,9163,768x512,0.1864,,,,,
buildings,59,0.0596171,3.03,8145,768x512,0.1657,,,,,
buildings,60,0.057344886,2.97,7232,768x512,0.1471,,,,,
buildings,61,0.056453453,2.86,6287,768x512,0.1279,,,,,
buildings,62,0.054256669,2.78,5198,768x512,0.1057,,,,,
buildings,63,0.051686883,2.74,3951,768x512,0.0803,,,,,
caps,0,0.147964803,6.84,350892,768x512,7.1389,,,,,
caps,1,0.124134261,5.61,226835,768x512,4.6149,,,,,
caps,2,0.112837726,5.14,173329,768x512,3.5263,,,,,
caps,3,0.106346183,4.88,136757,768x512,2.7823,,,,,
caps,4,0.101665392,4.69,114022,768x512,2.3197,,,,,
caps,5,0.098470565,4.55,95398,768x512,1.9408,,,,,
caps,6,0.094992407,4.71,82856,768x512,1.6857,,,,,
caps,7,0.092075681,4.33,73351,768x512,1.4923,,,,,
caps,8,0.088017472,4.17,66696,768x512,1.3569,,,,,
caps,9,0.085501477,4.02,60631,768x512,1.2335,,,,,
caps,10,0.082008589,3.9,56101,768x512,1.1413,,,,,
caps,11,0.079652534,3.82,52673,768x512,1.0716,,,,,
caps,12,0.07775389,3.66,48913,768x512,0.9951,,,,,
caps,13,0.076524967,3.67,46371,768x512,0.9434,,,,,
caps,14,0.075294444,3.6,43653,768x512,0.8881,,,,,
caps,15,0.074791534,3.29,41539,768x512,0.8451,,,,,
caps,16,0.073553541,3.67,39235,768x512,0.7982,,,,,
caps,17,0.072061617,3.44,37380,768x512,0.7604,,,,,
caps,18,0.071346846,3.39,35990,768x512,0.7322,,,,,
caps,19,0.070755444,3.39,34326,768x512,0.6983,,,,,
caps,20,0.069824093,3.34,32646,768x512,0.6641,,,,,
caps,21,0.069414752,3.3,31363,768x512,0.638,,,,,
caps,22,0.068108579,3.26,30218,768x512,0.6147,,,,,
caps,23,0.067818488,3.29,28998,768x512,0.5899,,,,,
caps,24,0.066935066,3.18,27620,768x512,0.5619,,,,,
caps,25,0.065355482,3.15,25834,768x512,0.5255,,,,,
caps,26,0.064815522,3.17,24117,768x512,0.4906,,,,,
caps,27,0.06403271,3.06,22669,768x512,0.4612,,,,,
caps,28,0.063031417,3.04,21399,768x512,0.4353,,,,,
caps,29,0.061872415,3.01,20134,768x512,0.4096,,,,,
caps,30,0.061911525,2.96,19158,768x512,0.3897,,,,,
caps,31,0.060598512,2.94,17789,768x512,0.3619,,,,,
caps,32,0.05956778,2.87,16436,768x512,0.3343,,,,,
caps,33,0.058755628,2.85,15421,768x512,0.3137,,,,,
caps,34,0.058111327,2.8,14452,768x512,0.294,,,,,
caps,35,0.056786864,2.81,13406,768x512,0.2727,,,,,
caps,36,0.055880932,2.72,12403,768x512,0.2523,,,,,
caps,37,0.055367291,2.65,11531,768x512,0.2345,,,,,
caps,38,0.054678369,2.7,10645,768x512,0.2165,,,,,
caps,39,0.054231699,2.67,9865,768x512,0.2007,,,,,
caps,40,0.052748665,2.61,9135,768x512,0.1858,,,,,
caps,41,0.052147963,2.54,8423,768x512,0.1713,,,,,
caps,42,0.051118551,2.49,7812,768x512,0.1589,,,,,
caps,43,0.05075917,2.5,7214,768x512,0.1467,,,,,
caps,44,0.051060472,2.51,6735,768x512,0.137,,,,,
caps,45,0.049005656,2.43,6232,768x512,0.1267,,,,,
caps,46,0.048838586,2.33,5767,768x512,0.1173,,,,,
caps,47,0.047920445,2.36,5393,768x512,0.1097,,,,,
caps,48,0.046864512,2.34,4927,768x512,0.1002,,,,,
caps,49,0.046573722,2.38,4612,768x512,0.0938,,,,,
caps,50,0.04576841,2.25,4230,768x512,0.086,,,,,
caps,51,0.045176559,2.21,3934,768x512,0.08,,,,,
caps,52,0.044433007,2.14,3680,768x512,0.0748,,,,,
caps,53,0.043733936,2.15,3423,768x512,0.0696,,,,,
caps,54,0.043300804,2.15,3196,768x512,0.065,,,,,
caps,55,0.042476363,2.03,2960,768x512,0.0602,,,,,
caps,56,0.04160503,2.06,2771,768x512,0.0563,,,,,
caps,57,0.04116492,2.03,2593,768x512,0.0527,,,,,
caps,58,0.040343608,1.99,2423,768x512,0.0492,,,,,
caps,59,0.040451819,2,2250,768x512,0.0457,,,,,
caps,60,0.039503976,1.9,2098,768x512,0.0426,,,,,
caps,61,0.038992005,1.86,1933,768x512,0.0393,,,,,
