Filename,q_flag,Avg Time,Avg Energy,File Size,Resolution,bpp,,avg time,avg energy,,,
buildings,60,0.038124823,2.01,7293,768x512,0.1483,,,,,,
buildings,61,0.035174706,1.76,6374,768x512,0.1296,,,,,,
buildings,62,0.034507305,1.73,5244,768x512,0.1066,,,,,,
buildings,63,0.034179105,1.69,3980,768x512,0.0809,,,,,,
caps,0,0.074269422,3.63,372259,768x512,7.5736,,,,,,
caps,1,0.060771603,3.12,236471,768x512,4.811,,,,,,
caps,2,0.053604647,2.63,180304,768x512,3.6682,,,,,,
caps,3,0.050664121,2.47,144975,768x512,2.9495,,,,,,
caps,4,0.046740002,2.36,121961,768x512,2.4813,,,,,,
caps,5,0.045587869,2.25,103701,768x512,2.1098,,,,,,
caps,6,0.043893366,2.14,90896,768x512,1.8492,,,,,,
caps,7,0.042166922,2.21,80700,768x512,1.6418,,,,,,
caps,8,0.041543341,2.17,73881,768x512,1.5031,,,,,,
caps,9,0.04153529,2.21,67803,768x512,1.3794,,,,,,
caps,10,0.040745319,2.08,63139,768x512,1.2845,,,,,,
caps,11,0.040250388,2.02,59216,768x512,1.2047,,,,,,
caps,12,0.039214696,1.99,55446,768x512,1.128,,,,,,
caps,13,0.039157085,1.99,52429,768x512,1.0666,,,,,,
caps,14,0.038668584,1.92,49696,768x512,1.011,,,,,,
caps,15,0.038782414,2,47345,768x512,0.9632,,,,,,
caps,16,0.038032263,1.92,44439,768x512,0.9041,,,,,,
caps,17,0.038384344,1.97,42445,768x512,0.8635,,,,,,
caps,18,0.037961943,1.97,40639,768x512,0.8268,,,,,,
caps,19,0.040874639,2.08,38920,768x512,0.7918,,,,,,
caps,20,0.037419732,1.85,37153,768x512,0.7558,,,,,,
caps,21,0.036834181,1.87,35718,768x512,0.7266,,,,,,
caps,22,0.03656256,1.87,34278,768x512,0.6973,,,,,,
caps,23,0.03649926,1.94,33100,768x512,0.6734,,,,,,
caps,24,0.03676903,1.87,31667,768x512,0.6442,,,,,,
caps,25,0.03690007,1.85,29643,768x512,0.603,,,,,,
caps,26,0.035975828,1.84,27753,768x512,0.5646,,,,,,
caps,27,0.035559177,1.79,26185,768x512,0.5327,,,,,,
caps,28,0.035668308,1.82,24634,768x512,0.5011,,,,,,
caps,29,0.035898949,1.81,23334,768x512,0.4747,,,,,,
caps,30,0.035009756,1.75,22153,768x512,0.4507,,,,,,
caps,31,0.036030479,1.86,20399,768x512,0.415,,,,,,
caps,32,0.034410466,1.79,18980,768x512,0.3861,,,,,,
caps,33,0.034622675,1.75,17775,768x512,0.3616,,,,,,
caps,34,0.034482825,1.74,16687,768x512,0.3394,,,,,,
caps,35,0.033853624,1.71,15508,768x512,0.3155,,,,,,
caps,36,0.033550854,1.75,14336,768x512,0.2916,,,,,,
caps,37,0.033828214,1.71,13370,768x512,0.272,,,,,,
caps,38,0.033628514,1.65,12379,768x512,0.2518,,,,,,
caps,39,0.033610484,1.72,11384,768x512,0.2316,,,,,,
caps,40,0.033276753,1.69,10568,768x512,0.215,,,,,,
caps,41,0.033355572,1.67,9712,768x512,0.1975,,,,,,
caps,42,0.033436563,1.74,8980,768x512,0.1826,,,,,,
caps,43,0.032926961,1.66,8249,768x512,0.1678,,,,,,
caps,44,0.032752151,1.61,7657,768x512,0.1557,,,,,,
caps,45,0.032816501,1.67,7073,768x512,0.1439,,,,,,
caps,46,0.03232102,1.55,6496,768x512,0.1321,,,,,,
caps,47,0.03205875,1.6,5978,768x512,0.1216,,,,,,
caps,48,0.031751019,1.62,5405,768x512,0.1099,,,,,,
caps,49,0.0318123,1.57,4985,768x512,0.1014,,,,,,
caps,50,0.031455609,1.53,4606,768x512,0.0937,,,,,,
caps,51,0.031350538,1.53,4211,768x512,0.0856,,,,,,
caps,52,0.031025807,1.52,3860,768x512,0.0785,,,,,,
