Filename,q_flag,Avg Time,Avg Energy,File Size,Resolution,bpp,,avg time,,,,
carnivaldolls,16,0.038845005,1.89,73655,610x488,1.9794,,,,,,
carnivaldolls,17,0.037791032,1.83,70716,610x488,1.9004,,,,,,
carnivaldolls,18,0.037907103,1.9,68023,610x488,1.828,,,,,,
carnivaldolls,19,0.037169611,1.82,65531,610x488,1.7611,,,,,,
carnivaldolls,20,0.036883531,1.78,62917,610x488,1.6908,,,,,,
carnivaldolls,21,0.03674183,1.79,60705,610x488,1.6314,,,,,,
carnivaldolls,22,0.03666534,1.78,58694,610x488,1.5773,,,,,,
carnivaldolls,23,0.03632114,1.78,56807,610x488,1.5266,,,,,,
carnivaldolls,24,0.036005169,1.76,54450,610x488,1.4633,,,,,,
carnivaldolls,25,0.035646578,1.69,51101,610x488,1.3733,,,,,,
carnivaldolls,26,0.035111677,1.69,48141,610x488,1.2937,,,,,,
carnivaldolls,27,0.035130917,1.67,45627,610x488,1.2262,,,,,,
carnivaldolls,28,0.034409525,1.67,43277,610x488,1.163,,,,,,
carnivaldolls,29,0.034201255,1.68,41120,610x488,1.105,,,,,,
carnivaldolls,30,0.033643713,1.63,39088,610x488,1.0504,,,,,,
carnivaldolls,31,0.034415105,1.65,36166,610x488,0.9719,,,,,,
carnivaldolls,32,0.033394242,1.64,33897,610x488,0.9109,,,,,,
carnivaldolls,33,0.033298632,1.57,31954,610x488,0.8587,,,,,,
carnivaldolls,34,0.033450133,1.57,30236,610x488,0.8125,,,,,,
carnivaldolls,35,0.032900701,1.58,28175,610x488,0.7571,,,,,,
carnivaldolls,36,0.032771982,1.58,26293,610x488,0.7066,,,,,,
carnivaldolls,37,0.032317751,1.54,24706,610x488,0.6639,,,,,,
carnivaldolls,38,0.03197434,1.52,22985,610x488,0.6177,,,,,,
carnivaldolls,39,0.0318519,1.53,21453,610x488,0.5765,,,,,,
carnivaldolls,40,0.031818589,1.48,19988,610x488,0.5371,,,,,,
carnivaldolls,41,0.031424788,1.52,18485,610x488,0.4967,,,,,,
carnivaldolls,42,0.031522889,1.53,17190,610x488,0.4619,,,,,,
carnivaldolls,43,0.030957987,1.49,15964,610x488,0.429,,,,,,
carnivaldolls,44,0.030802848,1.51,14825,610x488,0.3984,,,,,,
carnivaldolls,45,0.030843298,1.41,13688,610x488,0.3678,,,,,,
carnivaldolls,46,0.030590987,1.46,12592,610x488,0.3384,,,,,,
carnivaldolls,47,0.030394507,1.48,11599,610x488,0.3117,,,,,,
carnivaldolls,48,0.029983296,1.45,10690,610x488,0.2872,,,,,,
carnivaldolls,49,0.029783505,1.45,9953,610x488,0.2674,,,,,,
carnivaldolls,50,0.029315144,1.44,9183,610x488,0.2467,,,,,,
carnivaldolls,51,0.029415834,1.42,8468,610x488,0.2275,,,,,,
carnivaldolls,52,0.029322434,1.42,7721,610x488,0.2074,,,,,,
carnivaldolls,53,0.033256583,1.68,7115,610x488,0.1912,,,,,,
carnivaldolls,54,0.028994554,1.37,6572,610x488,0.1766,,,,,,
carnivaldolls,55,0.028687132,1.4,5985,610x488,0.1608,,,,,,
carnivaldolls,56,0.028543512,1.32,5520,610x488,0.1483,,,,,,
carnivaldolls,57,0.028011021,1.34,5093,610x488,0.1368,,,,,,
carnivaldolls,58,0.028570252,1.38,4645,610x488,0.1248,,,,,,
carnivaldolls,59,0.028655432,1.4,4151,610x488,0.1115,,,,,,
carnivaldolls,60,0.028169951,1.39,3723,610x488,0.1,,,,,,
carnivaldolls,61,0.028094462,1.33,3313,610x488,0.089,,,,,,
carnivaldolls,62,0.027799991,1.34,2787,610x488,0.0748,,,,,,
carnivaldolls,63,0.02746979,1.33,2270,610x488,0.061,,,,,,
cemetry,0,0.07341394,3.51,446814,627x482,11.8277,,,,,,
cemetry,1,0.063686359,3.01,343416,627x482,9.0906,,,,,,
cemetry,2,0.05932818,2.83,293490,627x482,7.769,,,,,,
cemetry,3,0.055346651,2.68,257096,627x482,6.8056,,,,,,
cemetry,4,0.053612917,2.56,232021,627x482,6.1418,,,,,,
cemetry,5,0.052931095,2.53,211768,627x482,5.6057,,,,,,
cemetry,6,0.050080809,2.33,195133,627x482,5.1654,,,,,,
cemetry,7,0.050135829,2.37,180807,627x482,4.7861,,,,,,
cemetry,8,0.048586016,2.24,169011,627x482,4.4739,,,,,,
cemetry,9,0.047397104,2.25,157633,627x482,4.1727,,,,,,
cemetry,10,0.046787692,2.15,148491,627x482,3.9307,,,,,,
cemetry,11,0.046466201,2.17,140325,627x482,3.7145,,,,,,
cemetry,12,0.046301571,2.27,132647,627x482,3.5113,,,,,,
cemetry,13,0.044640657,2.14,126167,627x482,3.3398,,,,,,
cemetry,14,0.044351766,2.1,120254,627x482,3.1832,,,,,,
cemetry,15,0.044008047,2.22,114736,627x482,3.0372,,,,,,
cemetry,16,0.043334855,2.12,108313,627x482,2.8671,,,,,,
cemetry,17,0.042902413,2.12,103689,627x482,2.7447,,,,,,
cemetry,18,0.042072182,2.04,99428,627x482,2.6319,,,,,,
cemetry,19,0.042101342,2.01,95346,627x482,2.5239,,,,,,
cemetry,20,0.041628511,2.04,91274,627x482,2.4161,,,,,,
cemetry,21,0.04123264,2,87923,627x482,2.3274,,,,,,
cemetry,22,0.040313478,1.96,84735,627x482,2.243,,,,,,
cemetry,23,0.040226308,1.93,81776,627x482,2.1647,,,,,,
cemetry,24,0.040128867,1.94,78340,627x482,2.0737,,,,,,
cemetry,25,0.040219748,1.93,73181,627x482,1.9371,,,,,,
cemetry,26,0.038743445,1.91,68765,627x482,1.8202,,,,,,
cemetry,27,0.037736973,1.9,64720,627x482,1.7132,,,,,,
cemetry,28,0.037844122,1.84,61125,627x482,1.618,,,,,,
cemetry,29,0.037883782,1.83,57888,627x482,1.5323,,,,,,
