Filename;q_flag;Avg Time;Avg Energy;File Size;Resolution;bpp;;ssim;psnr;mse;;min fs;max fs ;avg fs;median fs
cemetry;98;0,01351135;0,7;583819;627x482;15,4544;98;0,998471708;49,99687739;0,650717703;;;;;
cemetry;99;0,014445943;0,72;655304;627x482;17,3467;99;0,999365238;54,55106388;0,228020542;;;;;
churchandcapitol;57;0,007194652;0,33;133750;634x505;3,3419;57;0,950627068;32,36814431;37,69345348;;;;;
churchandcapitol;58;0,007157291;0,33;136008;634x505;3,3983;58;0,951719076;32,47499491;36,77738701;;;;;
churchandcapitol;59;0,007714013;0,39;137466;634x505;3,4348;59;0,952523992;32,57147964;35,969334;;;;;
churchandcapitol;60;0,007406202;0,33;139046;634x505;3,4743;60;0,953511246;32,67612317;35,11300871;;;;;
churchandcapitol;61;0,007352732;0,4;141626;634x505;3,5387;61;0,954559322;32,79287465;34,18163996;;;;;
churchandcapitol;62;0,007427523;0,37;143306;634x505;3,5807;62;0,955394232;32,90056323;33,34448678;;;;;
churchandcapitol;63;0,007372742;0,34;146157;634x505;3,6519;63;0,956486804;33,0301298;32,36438663;;;;;
churchandcapitol;64;0,007389722;0,38;147680;634x505;3,69;64;0,957353047;33,13700291;31,57766915;;;;;
churchandcapitol;65;0,007537032;0,33;150618;634x505;3,7634;65;0,958322137;33,26811749;30,63857846;;;;;
churchandcapitol;66;0,007584543;0,39;152734;634x505;3,8163;66;0,959368262;33,40144048;29,71230284;;;;;
churchandcapitol;67;0,007503422;0,38;155138;634x505;3,8763;67;0,960442387;33,538822;28,78711622;;;;;
churchandcapitol;68;0,007654503;0,42;158571;634x505;3,9621;68;0,961490116;33,68084701;27,86093325;;;;;
churchandcapitol;69;0,007661143;0,38;160992;634x505;4,0226;69;0,962330936;33,81404424;27,01941469;;;;;
churchandcapitol;70;0,007686443;0,39;164731;634x505;4,116;70;0,963649096;33,98871;25,9543024;;;;;
churchandcapitol;71;0,007772963;0,4;167854;634x505;4,1941;71;0,964599089;34,15255847;24,99335249;;;;;
churchandcapitol;72;0,007824934;0,38;170334;634x505;4,256;72;0,965491663;34,30155484;24,1504305;;;;;
